Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,Week52High,Week52Low,MovingAverage50Day,MovingAverage200Day,SharesOutstanding,DividendDate,ExDividendDate
AVGO,Common Stock,Broadcom Inc,"Broadcom Inc. is an American designer, developer, manufacturer and global supplier of a wide range of semiconductor and infrastructure software products. Broadcom's product offerings serve the data center, networking, software, broadband, wireless, and storage and industrial markets.",1730168,NASDAQ,USD,USA,MANUFACTURING,SEMICONDUCTORS & RELATED DEVICES,"1320 RIDDER PARK DRIVE, SAN JOSE, CA, US",https://www.broadcom.com,October,2025-01-31,901175771000,28841001000,88.32,0.506,59.22,2.235,0.0123,2.17,11.68,0.185,0.318,0.0698,0.148,54528999000,41581998000,2.17,1.881,0.164,250.42,7,29,5,0,0,88.32,29.24,16.53,12.91,17.58,34.47,1.03,250.45,118.31,214.04,182.82,4701950000,2025-03-31,2025-03-20
TSLA,Common Stock,Tesla Inc,"Tesla, Inc. is an American electric vehicle and clean energy company based in Palo Alto, California. Tesla's current products include electric cars, battery energy storage from home to grid-scale, solar panels and solar roof tiles, as well as other related products and services. In 2020, Tesla had the highest sales in the plug-in and battery electric passenger car segments, capturing 16% of the plug-in market (which includes plug-in hybrids) and 23% of the battery-electric (purely electric) market. Through its subsidiary Tesla Energy, the company develops and is a major installer of solar photovoltaic energy generation systems in the United States. Tesla Energy is also one of the largest global suppliers of battery energy storage systems, with 3 GWh of battery storage supplied in 2020.",1318605,NASDAQ,USD,USA,MANUFACTURING,MOTOR VEHICLES & PASSENGER CAR BODIES,"3500 DEER CREEK RD, PALO ALTO, CA, US",https://www.tesla.com,December,2024-12-31,799980716000,13027000000,121.92,3.022,22.67,None,None,2.04,30.56,0.0726,0.0616,0.0419,0.104,97690001000,17450000000,2.04,-0.709,0.021,338.58,7,14,15,9,3,121.92,89.29,8.19,10.97,7.95,52.83,2.507,488.54,138.8,335.32,284.17,3216520000,None,None
LLY,Common Stock,Eli Lilly and Company,"Eli Lilly and Company is an American pharmaceutical company headquartered in Indianapolis, Indiana, with offices in 18 countries. Its products are sold in approximately 125 countries.",59478,NYSE,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,"LILLY CORPORATE CTR, DROP CODE 1112, INDIANAPOLIS, IN, US",https://www.lilly.com,December,2024-12-31,752280207000,19268301000,71.4,1.229,15.81,5.2,0.0072,11.73,50.01,0.235,0.428,0.153,0.843,45042700000,36624400000,11.73,1.018,0.447,1010.47,7,16,4,0,1,71.4,36.63,16.7,53.01,17.37,51.39,0.335,969.25,710.18,836.26,856.06,898170000,2025-03-10,2025-02-14
WMT,Common Stock,Walmart Inc,"Walmart Inc. is an American multinational retail corporation that operates a chain of hypermarkets, discount department stores, and grocery stores from the United States, headquartered in Bentonville, Arkansas. It also owns and operates Sam's Club retail warehouses.",104169,NYSE,USD,USA,TRADE & SERVICES,RETAIL-VARIETY STORES,"702 SOUTHWEST 8TH ST, BENTONVILLE, AR, US",https://corporate.walmart.com,January,2025-01-31,689288774000,42320998000,35.68,2.692,11.34,0.83,0.0109,2.41,84.69,0.0285,0.0419,0.0715,0.214,680984969000,169232007000,2.41,-0.023,0.041,108.42,12,25,4,1,0,35.68,32.47,1.012,7.57,1.087,17.62,0.537,105.01,57.9,94.99,82.89,8016850000,2026-01-05,2025-05-09
JPM,Common Stock,JPMorgan Chase & Co,"JPMorgan Chase & Co. is an American multinational investment bank and financial services holding company headquartered in New York City. JPMorgan Chase is incorporated in Delaware. As a Bulge Bracket bank, it is a major provider of various investment banking and financial services. It is one of America's Big Four banks, along with Bank of America, Citigroup, and Wells Fargo. JPMorgan Chase is considered to be a universal bank and a custodian bank. The J.P. Morgan brand is used by the investment banking, asset management, private banking, private wealth management, and treasury services divisions.",19617,NYSE,USD,USA,FINANCE,NATIONAL COMMERCIAL BANKS,"383 MADISON AVENUE, NEW YORK, NY, US",https://www.jpmorganchase.com,December,2024-12-31,675624124000,None,12.24,6.57,116.07,4.8,0.0232,19.74,58.03,0.351,0.43,0.0148,0.174,166774997000,166774997000,19.74,0.582,0.13,265.64,7,7,7,1,1,12.24,13.14,4.051,2.081,5.49,-,1.09,280.25,176.22,256.85,228.73,2796110000,2025-01-31,2025-04-04
V,Common Stock,Visa Inc. Class A,"Visa Inc. is an American multinational financial services corporation headquartered in Foster City, California, United States. It facilitates electronic funds transfers throughout the world, most commonly through Visa-branded credit cards, debit cards and prepaid cards. Visa is one of the world's most valuable companies.",1403161,NYSE,USD,USA,TRADE & SERVICES,"SERVICES-BUSINESS SERVICES, NEC","P.O. BOX 8999, SAN FRANCISCO, CA, US",https://www.visa.com,September,2024-12-31,647491551000,25575000000,33.77,2.209,19.13,2.22,0.007,9.94,19.66,0.543,0.687,0.167,0.512,36801999000,35997999000,9.94,0.078,0.101,373.81,11,20,6,0,1,33.77,29.67,17.59,17.32,17.79,25.4,0.949,366.54,251.29,339.46,298.44,1723360000,2025-03-03,2025-02-11
XOM,Common Stock,Exxon Mobil Corp,"Exxon Mobil Corporation, stylized as ExxonMobil, is an American multinational oil and gas corporation headquartered in Irving, Texas. It is the largest direct descendant of John D. Rockefeller's Standard Oil, and was formed on November 30, 1999 by the merger of Exxon (formerly the Standard Oil Company of New Jersey) and Mobil (formerly the Standard Oil Company of New York). ExxonMobil's primary brands are Exxon, Mobil, Esso, and ExxonMobil Chemical. ExxonMobil is incorporated in New Jersey.",34088,NYSE,USD,USA,ENERGY & TRANSPORTATION,PETROLEUM REFINING,"5959 LAS COLINAS BLVD, IRVING, TX, US",https://corporate.exxonmobil.com,December,2024-12-31,501170668000,64293999000,14.73,4.823,60.58,3.84,0.0343,7.84,79.24,0.0989,0.0852,0.0625,0.145,340568015000,104666997000,7.84,-0.099,-0.02,129.06,7,9,11,0,1,14.73,14.47,1.472,1.901,1.532,7.09,0.802,124.2,103.67,109.97,114.14,4339140000,2025-03-10,2025-02-12
MA,Common Stock,Mastercard Inc,"Mastercard Incorporated is an American multinational financial services corporation headquartered in the Mastercard International Global Headquarters in Purchase, New York. The Global Operations Headquarters is located in O'Fallon, Missouri, a municipality of St. Charles County, Missouri. Throughout the world, its principal business is to process payments between the banks of merchants and the card-issuing banks or credit unions of the purchasers who use the Mastercard brand debit, credit and prepaid cards to make purchases. Mastercard Worldwide has been a publicly traded company since 2006.",1141391,NYSE,USD,USA,TRADE & SERVICES,"SERVICES-BUSINESS SERVICES, NEC","2000 PURCHASE STREET, PURCHASE, NY, US",https://www.mastercard.com,December,2024-12-31,488392884000,17348999000,38.62,2.149,7.09,2.74,0.0057,13.87,30.45,0.457,0.563,0.227,1.906,28167000000,28167000000,13.87,0.223,0.144,618.26,10,21,7,0,1,38.62,33.67,17.34,75.31,17.67,29.64,1.102,582.23,427.65,546.24,501.75,904890000,2025-05-09,2025-04-09
UNH,Common Stock,UnitedHealth Group Incorporated,"UnitedHealth Group Incorporated is an American for-profit multinational managed healthcare and insurance company based in Minnetonka, Minnesota. It offers health care products and insurance services. In 2020, it was the second-largest healthcare company (behind CVS Health) by revenue with $257.1 billion, and the largest insurance company by net premiums. UnitedHealthcare revenues comprise 80% of the Group's overall revenue.",731766,NYSE,USD,USA,FINANCE,HOSPITAL & MEDICAL SERVICE PLANS,"UNITEDHEALTH GROUP CENTER, 9900 BREN ROAD EAST, MINNEAPOLIS, MN, US",https://www.unitedhealthgroup.com,December,2024-12-31,472768872000,34986000000,33.32,1.432,101.27,8.18,0.0163,15.51,434.61,0.036,0.0771,0.0706,0.151,400277996000,89399001000,15.51,0.026,0.068,628.03,7,20,1,0,0,33.32,17.36,1.181,5.1,1.3,18.54,0.634,625.65,429.51,510.46,545.01,914712000,2025-03-18,2025-03-10
ORCL,Common Stock,Oracle Corporation,"Oracle is an American multinational computer technology corporation headquartered in Austin, Texas. The company was formerly headquartered in Redwood Shores, California until December 2020 when it moved its headquarters to Texas. The company sells database software and technology, cloud engineered systems, and enterprise software products, particularly its own brands of database management systems.",1341439,NYSE,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"500 ORACLE PARKWAY, MAIL STOP 5 OP 7, REDWOOD CITY, CA, US",https://www.oracle.com,May,2025-02-28,426887905000,22916000000,35.73,1.607,5.97,1.7,0.0131,4.26,20.1,0.218,0.313,0.0735,1.037,55782998000,39673000000,4.26,0.2,0.064,184.45,4,18,13,1,0,35.73,21.93,7.65,25.52,9.06,21.69,1.066,197.8,111.92,164.51,159.76,2804230000,2025-04-23,2025-04-10
NFLX,Common Stock,Netflix Inc,"Netflix, Inc. is an American over-the-top content platform and production company headquartered in Los Gatos, California. Netflix was founded in 1997 by Reed Hastings and Marc Randolph in Scotts Valley, California. The company's primary business is a subscription-based streaming service offering online streaming from a library of films and television series, including those produced in-house.",1065280,NASDAQ,USD,USA,TRADE & SERVICES,SERVICES-VIDEO TAPE RENTAL,"100 WINCHESTER CIRCLE, ., LOS GATOS, CA, US",https://www.netflix.com,December,2024-12-31,410770768000,10746528000,48.3,1.736,57.84,None,None,19.88,90.8,0.223,0.222,0.127,0.384,39000965000,17962502000,19.88,1.018,0.16,1071.74,7,24,13,0,2,48.3,39.06,10.53,16.6,10.69,15.84,1.377,1064.5,542.01,954.98,793.49,427757000,None,None
COST,Common Stock,Costco Wholesale Corp,"Costco Wholesale Corporation (doing business as Costco Wholesale and also known simply as Costco) is an American multinational corporation which operates a chain of membership-only (needing a membership to shop there) big-box retail stores. As of 2020, Costco was the fifth largest retailer in the world, and the world's largest retailer of choice and prime beef, organic foods, rotisserie chicken, and wine as of 2016.",909832,NASDAQ,USD,USA,TRADE & SERVICES,RETAIL-VARIETY STORES,"999 LAKE DRIVE, ISSAQUAH, WA, US",https://www.costco.com,August,2025-02-28,403423232000,12073000000,53.2,5.42,57.64,4.5,0.0051,17.09,594.82,0.0289,0.0363,0.0873,0.329,264085996000,33472000000,17.09,0.026,0.09,1067.19,7,18,13,1,0,53.2,50.25,1.528,15.77,1.508,31.59,0.805,1078.23,693.47,984.55,915.68,443683000,2025-02-21,2025-02-07
JNJ,Common Stock,Johnson & Johnson,"Johnson & Johnson (J&J) is an American multinational corporation founded in 1886 that develops medical devices, pharmaceuticals, and consumer packaged goods. Its common stock is a component of the Dow Jones Industrial Average and the company is ranked No. 36 on the 2021 Fortune 500 list of the largest United States corporations by total revenue. Johnson & Johnson is one of the world's most valuable companies, and is one of only two U.S.-based companies that has a prime credit rating of AAA, higher than that of the United States government.",200406,NYSE,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,"ONE JOHNSON & JOHNSON PLZ, NEW BRUNSWICK, NJ, US",https://www.jnj.com,December,2024-12-31,394323788000,29940001000,28.26,1.111,29.7,4.91,0.0303,5.79,36.9,0.158,0.181,0.0813,0.201,88820998000,61785002000,5.79,-0.034,0.053,169.07,2,7,13,0,0,28.26,15.46,4.439,5.52,4.576,16.4,0.463,169.99,138.68,156.62,155.82,2409850000,2025-03-04,2025-02-18
PG,Common Stock,Procter & Gamble Company,"The Procter & Gamble Company (P&G) is an American multinational consumer goods corporation headquartered in Cincinnati, Ohio, founded in 1837 by William Procter and James Gamble. It specializes in a wide range of personal health, consumer health, personal care, and hygiene products; these products are organized into several segments including Beauty; Grooming; Health Care; Fabric & Home Care; and Baby, Feminine, & Family Care. Before the sale of Pringles to Kellogg's, its product portfolio also included food, snacks, and beverages.",80424,NYSE,USD,USA,LIFE SCIENCES,"SOAP, DETERGENTS, CLEANG PREPARATIONS, PERFUMES, COSMETICS","ONE PROCTER & GAMBLE PLAZA, CINCINNATI, OH, US",https://www.pginvestor.com,June,2024-12-31,390863028000,24096000000,26.54,3.326,21.48,3.96,0.0242,6.28,35.77,0.183,0.272,0.109,0.311,84346003000,43620999000,6.28,0.341,0.021,178.78,4,13,10,0,1,26.54,22.62,4.634,7.76,4.933,17.87,0.4,179.99,150.79,167.88,169.1,2344850000,2025-02-18,2025-01-24
ABBV,Common Stock,AbbVie Inc,AbbVie is an American publicly traded biopharmaceutical company founded in 2013. It originated as a spin-off of Abbott Laboratories.,1551152,NYSE,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,"1 NORTH WAUKEGAN ROAD, NORTH CHICAGO, IL, US",https://www.abbvie.com,December,2024-12-31,370741150000,26717999000,87.87,0.44,1.884,6.29,0.0312,2.39,31.84,0.0759,0.367,0.0849,0.623,56334000000,39645000000,2.39,-0.123,0.056,211.73,6,11,10,0,0,87.87,17.09,6.58,111.5,7.67,29.0,0.598,218.66,149.56,194.29,185.95,1765350000,2025-05-15,2025-04-15
HD,Common Stock,Home Depot Inc,"The Home Depot, Inc., commonly known as Home Depot, is the largest home improvement retailer in the United States, supplying tools, construction products, and services. The company is headquartered in incorporated Cobb County, Georgia, with an Atlanta mailing address.",354950,NYSE,USD,USA,TRADE & SERVICES,RETAIL-LUMBER & OTHER BUILDING MATERIALS DEALERS,"2455 PACES FERRY ROAD, ATLANTA, GA, US",https://www.homedepot.com,January,2025-01-31,349054337000,25287000000,23.54,4.071,6.7,9.05,0.0262,14.92,161.12,0.0928,0.113,0.156,0.385,159514001000,53307998000,14.92,0.073,0.141,431.96,5,21,13,1,0,23.54,23.42,2.188,52.57,2.568,16.07,1.09,434.31,315.91,393.16,384.26,994032000,2025-03-27,2025-03-13
BABA,Common Stock,Alibaba Group Holding Ltd,"Alibaba Group Holding Limited, also known as Alibaba Group and Alibaba.com, is a Chinese multinational technology company specializing in e-commerce, retail, Internet, and technology. Founded on 28 June 1999 in Hangzhou, Zhejiang, the company provides consumer-to-consumer (C2C), business-to-consumer (B2C), and business-to-business (B2B) sales services via web portals, as well as electronic payment services, shopping search engines and cloud computing services. It owns and operates a diverse portfolio of companies around the world in numerous business sectors.",1577552,NYSE,USD,USA,TRADE & SERVICES,"SERVICES-BUSINESS SERVICES, NEC","26/F TOWER ONE, TIMES SQUARE, 1 MATHESON STREET, CAUSEWAY BAY, HK",https://www.alibabagroup.com,March,2024-12-31,320988578000,190467998000,19.61,0.764,432.52,7.22,0.0148,6.89,411.01,0.123,0.171,0.0504,0.103,981767029000,381009986000,6.89,2.608,0.076,161.39,8,30,3,0,0,19.61,13.37,0.327,2.319,2.133,12.36,0.272,148.43,67.78,115.56,93.83,2375230000,2024-07-12,2024-06-13
BAC,Common Stock,Bank of America Corp,"The Bank of America Corporation is an American multinational investment bank and financial services holding company headquartered in Charlotte, North Carolina. Founded in San Francisco, Bank of America was formed through NationsBank's acquisition of BankAmerica in 1998. It is the second largest banking institution in the United States, after JPMorgan Chase, and the eighth largest bank in the world. Bank of America is one of the Big Four banking institutions of the United States. It services approximately 10 percent of all American bank deposits, in direct competition with JPMorgan Chase, Citigroup and Wells Fargo. Its primary financial services revolve around commercial banking, wealth management, and investment banking.",70858,NYSE,USD,USA,FINANCE,NATIONAL COMMERCIAL BANKS,"BANK OF AMERICA CORPORATE CENTER, 100 N TRYON ST, CHARLOTTE, NC, US",https://www.bankofamerica.com,December,2024-12-31,322890924000,None,13.23,1.594,35.79,1,0.0245,3.21,12.23,0.282,0.297,0.0084,0.0924,96066003000,96066003000,3.21,1.427,0.064,52.64,7,11,4,0,0,13.23,11.48,3.361,1.185,6.6,-,1.331,47.68,33.33,44.77,42.56,7602800000,2025-03-28,2025-03-07
SAP,Common Stock,SAP SE ADR,"SAP SE is a global enterprise application software company. The company is headquartered in Walldorf, Germany.",1000184,NYSE,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"DIETMAR-HOPP-ALLEE 16, WALLDORF, DE",https://www.sap.com,December,2024-12-31,318377722000,8914000000,94.3,1.841,38.95,2.35,0.0088,2.89,29.31,0.0914,0.258,0.0714,0.0706,34176000000,25012001000,2.89,0.319,0.107,312.72,6,7,3,0,0,94.3,40,9.32,6.41,8.58,45.33,0.9,293.7,172.91,274.68,235.08,1166590000,2024-05-28,2024-05-16
KO,Common Stock,The Coca-Cola Company,"The Coca-Cola Company is an American multinational beverage corporation incorporated under Delaware's General Corporation Law and headquartered in Atlanta, Georgia. The Coca-Cola Company has interests in the manufacturing, retailing, and marketing of nonalcoholic beverage concentrates and syrups.",21344,NYSE,USD,USA,MANUFACTURING,BEVERAGES,"ONE COCA COLA PLAZA, ATLANTA, GA, US",https://www.coca-colacompany.com,December,2024-12-31,295526138000,15376000000,27.91,2.611,5.78,1.94,0.0297,2.46,10.92,0.226,0.258,0.0902,0.396,47061000000,28736999000,2.46,0.115,0.064,74.64,7,14,4,0,1,27.91,23.26,6.28,11.89,6.92,20.58,0.575,72.68,56.25,66.83,66.44,4303570000,2025-04-01,2025-03-14
TMUS,Common Stock,T-Mobile US Inc,"T-Mobile US, Inc., doing business under the global brand name T-Mobile, is an American wireless network operator. Its headquarters are located in Bellevue, Washington, in the Seattle metropolitan area and Overland Park, Kansas, in the Kansas City metropolitan area.",1283699,NASDAQ,USD,USA,TECHNOLOGY,RADIOTELEPHONE COMMUNICATIONS,"12920 SE 38TH STREET, BELLEVUE, WA, US",https://www.t-mobile.com,December,2024-12-31,292102767000,31079999000,26.46,1.396,53.94,3.06,0.0138,9.67,69.62,0.139,0.202,0.0546,0.179,81399996000,51926999000,9.67,0.533,0.068,255.97,7,12,7,1,1,26.46,23.58,3.588,4.731,4.928,12.92,0.636,276.49,156.93,246.93,216.06,1141740000,2025-06-12,2025-05-30
